token,name,unique
"z4hizw","10 survey completed","false"
"tt5fze","10th game download","false"
"716jdd","10th non gaming offer completed","false"
"cmxqyo","15 survey completed","false"
"i5cj68","15th game download","false"
"3k3hot","1st game download","false"
"yff4op","1st non gaming offer completed","false"
"gngvna","1 survey completed","false"
"59yd4b","20 survey completed","false"
"yfrprf","20th game download","false"
"yigij6","20th non gaming offer completed","false"
"nxl1tt","2nd game download","false"
"l99rcz","2 survey completed","false"
"ui6ioz","30 survey completed","false"
"1pgnn1","30th non gaming offer completed","false"
"5isx4q","3rd game download","false"
"eiicuj","3rd non gaming offer completed","false"
"xl45ah","3 survey completed","false"
"qmvn9t","40 survey completed","false"
"gwpqsg","4th game download","false"
"kj0apc","50 survey completed","false"
"rzxdgm","5 survey completed","false"
"raftbp","5th game download","false"
"s4p3wy","5th non gaming offer completed","false"
"pwtxz9","App install","false"
"3jry64","App open on Day 1","false"
"62kx42","App open on Day 14","false"
"o4sl7w","App open on Day 21","false"
"bax5td","App open on Day 3","false"
"1r5loh","App open on Day 31","false"
"scfefb","App open on Day 40","false"
"a78z65","App open on Day 60","false"
"e7fv03","App open on Day 7","false"
"809u35","App open on Day 90","false"
"oezjqo","App session start","false"
"74ovs9","complete 10 daily challenges","false"
"8rsu8n","complete 14 days daily streak","false"
"hdb71y","complete 1st game in race","false"
"slfld8","complete 20 daily challenges","false"
"m3bhgv","complete 21 days daily streak","false"
"sm362n","complete 2 daily challenges","false"
"wc1l12","complete 2nd game in race","false"
"q49oa6","complete 30 daily challenges","false"
"gsv6g4","complete 30 days daily streak","false"
"s7ckmf","complete 3rd game in race","false"
"bhpc1r","complete 4th game in race","false"
"7sx0y0","complete 5 daily challenges","false"
"z3yil6","complete 5th game in race","false"
"pz5spl","complete 7 days daily streak","false"
"f6wbsy","complete cash coach all recommendations","false"
"uiglsj","complete welcome bonus","false"
"3j4ext","first cash withdrawal","false"
"ingjet","fourth cash withdrawal","false"
"1qyz32","make 10th purchase in any game","false"
"4l8udl","make 1st purchase in any game","false"
"bi3kk8","make 20th purchase in any game","false"
"jw9l57","make 2nd purchase in any game","false"
"qasu8p","make 40th purchase in any game","false"
"3euaqv","make 5th purchase in any game","false"
"2jp615","Make purchase of $100 inside any game","false"
"z1gnvt","Make purchase of $10 inside any game","false"
"tiy22n","Make purchase of $200 inside any game","false"
"fwsm1m","Make purchase of $40 inside any game","false"
"equtf1","Make purchase of $50 inside any game","false"
"hpk06i","Make purchase of $5 inside any game","false"
"4hv039","Make purchase of $70 inside any game","false"
"bphhbn","play any game for 1000 minutes","false"
"7vihva","play any game for 10 minutes","false"
"jkd1ll","play any game for 120 minutes","false"
"b3oaoa","play any game for 1500 minutes","false"
"cbsg75","play any game for 2000 minutes","false"
"7nvnfy","play any game for 200 minutes","false"
"olit79","play any game for 2500 minutes","false"
"dmvomw","play any game for 3000 minutes","false"
"4y7uj2","play any game for 300 minutes","false"
"nlakee","play any game for 30 minutes","false"
"3k7q01","play any game for 400 minutes","false"
"xqx3fx","play any game for 5 minutes","false"
"ndearb","play any game for 60 minutes","false"
"ew7i7l","play any game for 700 minutes","false"
"skxvai","reach mid xp level","false"
"hewxyy","reach senior xp level","false"
"bkf678","registration completed","false"
"3xfafa","Registration started","false"
"qj74cd","s2s_10 survey completed","false"
"dnebtz","s2s_10th game completed","false"
"vzl2i6","s2s_10th non gaming offer completed","false"
"4jtrju","s2s_15 survey completed","false"
"eboo8u","s2s_15th game downloaded","false"
"thdp9a","s2s_1st game download","false"
"4iptwn","s2s_1st non gaming offer completed","false"
"wapccu","s2s_1 survey completed","false"
"670im2","s2s_20 survey completed","false"
"h3ztg4","s2s_20th game downloaded","false"
"smcov9","s2s_20th non gaming offer completed","false"
"xd6dnw","s2s_2nd game download","false"
"f3ydhk","s2s_2 survey completed","false"
"wgqd8n","s2s_30 survey completed","false"
"nwh4mb","s2s_30th non gaming offer completed","false"
"wzilqs","s2s_3rd game download","false"
"vtmrh9","s2s_3rd non gaming offer completed","false"
"e6udjl","s2s_3 survey completed","false"
"54h2y6","s2s_40 survey completed","false"
"56y73l","s2s_4th game download","false"
"m369n4","s2s_50 survey completed","false"
"yk4r0g","s2s_5 survey completed","false"
"31zout","s2s_5th game download","false"
"sb90nj","s2s_5th non gaming offer completed","false"
"j71mxa","s2s_app install","false"
"tbzjyj","s2s_App open on Day 1","false"
"kt2ueh","s2s_App open on Day 14","false"
"hrcdxo","s2s_App open on Day 21","false"
"4a4nz0","s2s_App open on Day 3","false"
"gld3n2","s2s_App open on Day 31","false"
"prawrb","s2s_App open on Day 40","false"
"l30vmy","s2s_App open on Day 60","false"
"p09s6j","s2s_App open on Day 7","false"
"roylna","s2s_App open on Day 90","false"
"97yqfd","s2s_app session start","false"
"3cf55y","s2s_complete 10 daily challenges","false"
"8fh2nf","s2s_complete 14 days daily streak","false"
"yiq1pw","s2s_complete 1st game in race","false"
"pws2kp","s2s_complete 20 daily challenges","false"
"berna2","s2s_complete 21 days daily streak","false"
"f7ttvr","s2s_complete 2 daily challenges","false"
"r3snd6","s2s_complete 2nd game in race","false"
"9fujuj","s2s_complete 30 daily challenges","false"
"gvhzvl","s2s_complete 30 days daily streak","false"
"bql92w","s2s_complete 3rd game in race","false"
"ulgpao","s2s_complete 4th game in race","false"
"zcsiuf","s2s_complete 5 daily challenges","false"
"jza6zf","s2s_complete 5th game in race","false"
"cl5hz3","s2s_complete 7 days daily streak","false"
"owh3n3","s2s_complete cash coach all recommendations","false"
"lodexo","s2s_complete welcome bonus","false"
"mt8zkr","s2s_first cash withdrawal","false"
"y9vfeu","s2s_fourth cash withdrawal","false"
"cdzsm3","s2s_make 10th purchase in any game","false"
"60zkux","s2s_make 1st purchase in any game","false"
"asr2a1","s2s_make 20th purchase in any game","false"
"vddlku","s2s_make 2nd purchase in any game","false"
"5hmocr","s2s_make 40th purchase in any game","false"
"73hlu7","s2s_make 5th purchase in any game","false"
"cihkcl","s2s_Make purchase of $100 inside any game","false"
"i2hmeb","s2s_Make purchase of $10 inside any game","false"
"sffov6","s2s_Make purchase of $200 inside any game","false"
"kcebcj","s2s_Make purchase of $20 inside any game","false"
"ix7rlr","s2s_Make purchase of $20 inside  game","false"
"ial3h3","s2s_Make purchase of $40 inside any game","false"
"v0jjgk","s2s_Make purchase of $50 inside any game","false"
"dvtwbd","s2s_Make purchase of $5 inside any game","false"
"ssqvqk","s2s_Make purchase of $70 inside any game","false"
"v6yfd2","s2s_play any game for 1000 minutes","false"
"cjyt8o","s2s_play any game for 10 minutes","false"
"fw4keg","s2s_play any game for 120 minutes","false"
"9nev4v","s2s_play any game for 1500 minutes","false"
"of9fsd","s2s_play any game for 2000 minutes","false"
"a5ihxy","s2s_play any game for 200 minutes","false"
"as734h","s2s_play any game for 20 minutes","false"
"3ue8ek","s2s_play any game for 2500 minutes","false"
"5juz8i","s2s_play any game for 3000 minutes","false"
"5rnsoi","s2s_play any game for 300 minutes","false"
"eyhrnt","s2s_play any game for 30 minutes","false"
"xjb0iu","s2s_play any game for 400 minutes","false"
"d7o6i0","s2s_play any game for 500 minutes","false"
"udmaw5","s2s_play any game for 5 minutes","false"
"8q3dvq","s2s_play any game for 60 minutes","false"
"1sq2f5","s2s_play any game for 700 minutes","false"
"95qwec","s2s_reach mid xp level","false"
"s174hg","s2s_reach senior xp level","false"
"q2cubs","s2s_registration completed","false"
"adbvw2","s2s_registration started","false"
"cjvzo9","s2s_second cash withdrawal","false"
"y8i8n8","s2s_sixth cash withdrawal","false"
"63ln6r","s2s_tenth cash withdrawal","false"
"v2ps7h","s2s_third cash withdrawal","false"
"x4c80l","s2s_User in game purchase count","false"
"zcdtqu","s2s_User in game purchase revenue","false"
"6naguh","s2s_use spinner 100 times","false"
"tdlt36","s2s_use spinner 10 times","false"
"8eiifw","s2s_use spinner 20 times","false"
"o0uboy","s2s_use spinner 3 times","false"
"ysisai","s2s_use spinner 40 times","false"
"qco093","s2s_use spinner 60 times","false"
"c8bat7","s2s_use spinner 6 times","false"
"il3hq8","second cash withdrawal","false"
"kizgjw","sixth cash withdrawal","false"
"7tyrzw","tenth cash withdrawal","false"
"2d6rx4","third cash withdrawal","false"
"jtvhoz","User in game purchase count","false"
"e3fu18","User in game purchase revenue","false"
"i98o46","use spinner 100 times","false"
"47khn8","use spinner 10 times","false"
"pt27rq","use spinner 20 times","false"
"b392k4","use spinner 3 times","false"
"i7h0h5","use spinner 40 times","false"
"7bn4i9","use spinner 60 times","false"
"nnjl5a","use spinner 6 times","false"